ident,type,name,elevation_ft,continent,iso_country,iso_region,municipality,gps_code,iata_code,local_code,coordinates
EFKA,medium_airport,Kauhava Airport,151.0,EU,FI,FI-LS,Kauhava,EFKA,KAU,,"23.051399, 63.127102"
EFKE,medium_airport,Kemi-Tornio Airport,61.0,EU,FI,FI-LL,Kemi / Tornio,EFKE,KEM,,"24.582099914551, 65.778701782227"
EFKI,medium_airport,Kajaani Airport,483.0,EU,FI,FI-OL,Kajaani,EFKI,KAJ,,"27.692399978638, 64.285499572754"
EFKJ,medium_airport,Kauhajoki Airport,407.0,EU,FI,FI-LS,,EFKJ,KHJ,,"22.3931007385, 62.4625015259"
EFKK,medium_airport,Kokkola-Pietarsaari Airport,84.0,EU,FI,FI-LS,Kokkola / Kruunupyy,EFKK,KOK,,"23.143100738525, 63.721199035645"
EFKS,medium_airport,Kuusamo Airport,866.0,EU,FI,FI-OL,Kuusamo,EFKS,KAO,,"29.239400863647, 65.987602233887"
EFKT,medium_airport,KittilÃ¤ Airport,644.0,EU,FI,FI-LL,KittilÃ¤,EFKT,KTT,,"24.846799850464, 67.700996398926"
EFKU,medium_airport,Kuopio Airport,323.0,EU,FI,FI-IS,Kuopio / SiilinjÃ¤rvi,EFKU,KUO,,"27.797800064087, 63.007099151611"
EFLA,small_airport,Lahti Vesivehmaa Airport,502.0,EU,FI,FI-ES,,EFLA,QLF,,"25.693501, 61.144199"
EFLP,medium_airport,Lappeenranta Airport,349.0,EU,FI,FI-ES,Lappeenranta,EFLP,LPP,,"28.144743, 61.044601"
EFMA,medium_airport,Mariehamn Airport,17.0,EU,FI,FI-AL,,EFMA,MHQ,,"19.898199081421, 60.122200012207"
EFMI,medium_airport,Mikkeli Airport,329.0,EU,FI,FI-IS,Mikkeli,EFMI,MIK,,"27.201799, 61.6866"
EFOU,medium_airport,Oulu Airport,47.0,EU,FI,FI-OL,Oulu / Oulunsalo,EFOU,OUL,,"25.354600906372, 64.930099487305"
EFPO,medium_airport,Pori Airport,44.0,EU,FI,FI-LS,Pori,EFPO,POR,,"21.799999237061, 61.461700439453"
EFRO,medium_airport,Rovaniemi Airport,642.0,EU,FI,FI-LL,Rovaniemi,EFRO,RVN,,"25.830400466919, 66.564796447754"
EFSA,medium_airport,Savonlinna Airport,311.0,EU,FI,FI-IS,Savonlinna,EFSA,SVL,,"28.945100784302, 61.943099975586"
EFSI,medium_airport,SeinÃ¤joki Airport,302.0,EU,FI,FI-LS,SeinÃ¤joki / Ilmajoki,EFSI,SJY,,"22.8323, 62.692101"
EFSO,medium_airport,Sodankyla Airport,602.0,EU,FI,FI-LL,Sodankyla,EFSO,SOT,,"26.6191005707, 67.3949966431"
EFTP,medium_airport,Tampere-Pirkkala Airport,390.0,EU,FI,FI-LS,Tampere / Pirkkala,EFTP,TMP,,"23.604400634766, 61.414100646973"
EFTU,medium_airport,Turku Airport,161.0,EU,FI,FI-LS,Turku,EFTU,TKU,,"22.262800216675, 60.514099121094"
EFUT,medium_airport,Utti Air Base,339.0,EU,FI,FI-ES,Utti / Valkeala,EFUT,UTI,,"26.938400268555, 60.89640045166"
EFVA,medium_airport,Vaasa Airport,19.0,EU,FI,FI-LS,Vaasa,EFVA,VAA,,"21.762199401855, 63.050701141357"
EFVR,medium_airport,Varkaus Airport,286.0,EU,FI,FI-IS,Varkaus / Joroinen,EFVR,VRK,,"27.868600845337, 62.171100616455"
EFYL,medium_airport,Ylivieska Airfield,252.0,EU,FI,FI-OL,,EFYL,YLI,,"24.7252778, 64.0547222"
EHAM,large_airport,Amsterdam Airport Schiphol,-11.0,EU,NL,NL-NH,Amsterdam,EHAM,AMS,,"4.76389, 52.308601"
EHBK,medium_airport,Maastricht Aachen Airport,375.0,EU,NL,NL-LI,Maastricht,EHBK,MST,,"5.77014, 50.911701"
EHEH,large_airport,Eindhoven Airport,74.0,EU,NL,NL-NB,Eindhoven,EHEH,EIN,,"5.37452983856, 51.4500999451"
EHGG,medium_airport,Eelde Airport,17.0,EU,NL,NL-DR,Groningen,EHGG,GRQ,,"6.57944011688, 53.1197013855"
EHGR,medium_airport,Gilze Rijen Air Base,49.0,EU,NL,NL-NB,Breda,EHGR,GLZ,,"4.931829929351807, 51.56740188598633"
EHKD,medium_airport,De Kooy Airport,3.0,EU,NL,NL-NH,Den Helder,EHKD,DHR,,"4.780620098114014, 52.92340087890625"
EHLE,medium_airport,Lelystad Airport,-13.0,EU,NL,NL-FL,Lelystad,EHLE,LEY,,"5.52722, 52.4603"
EHLW,medium_airport,Leeuwarden Air Base,3.0,EU,NL,NL-FR,Leeuwarden,EHLW,LWR,,"5.760560035705566, 53.228599548339844"
EHRD,medium_airport,Rotterdam The Hague Airport,-15.0,EU,NL,NL-ZH,Rotterdam,EHRD,RTM,,"4.43722, 51.956902"
EHSB,closed,Soesterberg Air Base,66.0,EU,NL,NL-UT,Soesterberg,EHSB,UTC,,"5.27619, 52.1273"
EHTW,medium_airport,Twente Airport,114.0,EU,NL,NL-OV,Enschede,EHTW,ENS,,"6.889167, 52.275833"
EHVB,closed,Valkenburg Naval Air Base,1.0,EU,NL,NL-ZH,Leiden,EHVB,LID,,"4.41794013977, 52.166099548300004"
EHWO,medium_airport,Woensdrecht Air Base,63.0,EU,NL,NL-NB,Bergen Op Zoom,EHWO,WOE,,"4.34203, 51.4491"
EKAH,medium_airport,Aarhus Airport,82.0,EU,DK,DK-82,Aarhus,EKAH,AAR,,"10.619000434899998, 56.2999992371"
EKBI,large_airport,Billund Airport,247.0,EU,DK,DK-83,Billund,EKBI,BLL,,"9.15178012848, 55.7402992249"
EKCH,large_airport,Copenhagen Kastrup Airport,17.0,EU,DK,DK-84,Copenhagen,EKCH,CPH,,"12.656000137329, 55.617900848389"
EKEB,medium_airport,Esbjerg Airport,97.0,EU,DK,DK-83,Esbjerg,EKEB,EBJ,,"8.5534, 55.525902"
EKKA,medium_airport,Karup Airport,170.0,EU,DK,DK-82,Karup,EKKA,KRP,,"9.124629974365234, 56.29750061035156"
EKLS,small_airport,LÃ¦sÃ¸ Airport,25.0,EU,DK,DK-81,LÃ¦sÃ¸,EKLS,BYR,,"11.000100135803223, 57.277198791503906"
EKMB,medium_airport,Lolland Falster Maribo Airport,16.0,EU,DK,DK-85,Lolland Falster / Maribo,EKMB,MRW,,"11.4401, 54.699299"
EKOD,medium_airport,Odense Airport,56.0,EU,DK,DK-83,Odense,EKOD,ODE,,"10.330900192260742, 55.47669982910156"
EKRK,medium_airport,Copenhagen Roskilde Airport,146.0,EU,DK,DK-85,Copenhagen,EKRK,RKE,,"12.131400108337402, 55.585601806640625"
EKRN,medium_airport,Bornholm Airport,52.0,EU,DK,DK-84,RÃ¸nne,EKRN,RNN,,"14.759599685668945, 55.06330108642578"
EKSB,medium_airport,SÃ¸nderborg Airport,24.0,EU,DK,DK-83,SÃ¸nderborg,EKSB,SGD,,"9.791729927062988, 54.96440124511719"
EKSN,medium_airport,Sindal Airport,92.0,EU,DK,DK-81,Sindal,EKSN,CNL,,"10.2294, 57.503502"
EKSP,medium_airport,Skrydstrup Air Base,141.0,EU,DK,DK-83,Vojens,EKSP,SKS,,"9.26702, 55.221048"
EKSV,medium_airport,Skive Airport,74.0,EU,DK,DK-82,Skive,EKSV,SQW,,"9.172980308532715, 56.550201416015625"
EKTS,medium_airport,Thisted Airport,23.0,EU,DK,DK-81,Thisted,EKTS,TED,,"8.705220222473145, 57.06880187988281"
EKVG,medium_airport,Vagar Airport,280.0,EU,FO,FO-U-A,Vagar,EKVG,FAE,,"-7.277219772338867, 62.0635986328125"
EKVJ,medium_airport,Stauning Airport,17.0,EU,DK,DK-82,Skjern / RingkÃ¸bing,EKVJ,STA,,"8.353910446166992, 55.9901008605957"
EKYT,large_airport,Aalborg Airport,10.0,EU,DK,DK-81,Aalborg,EKYT,AAL,,"9.84924316406, 57.0927589138"
EK_4,small_airport,VejrÃ¸,,EU,DK,DK-85,,EK_4,-,-,"11.375, 55.035"
ELLX,large_airport,Luxembourg-Findel International Airport,1234.0,EU,LU,LU-L,Luxembourg,ELLX,LUX,,"6.2044444, 49.6233333"
ENAL,medium_airport,Ãlesund Airport,69.0,EU,NO,NO-15,Ãlesund,ENAL,AES,,"6.119699954986572, 62.5625"
ENAN,medium_airport,AndÃ¸ya Airport,43.0,EU,NO,NO-18,Andenes,ENAN,ANX,,"16.144199371338, 69.292503356934"
ENAT,medium_airport,Alta Airport,9.0,EU,NO,NO-20,Alta,ENAT,ALF,,"23.371700286865, 69.976097106934"
ENBL,small_airport,FÃ¸rde Airport,1046.0,EU,NO,NO-14,FÃ¸rde,ENBL,FDE,,"5.7569398880005, 61.391101837158"
ENBN,medium_airport,BrÃ¸nnÃ¸ysund Airport,25.0,EU,NO,NO-18,BrÃ¸nnÃ¸y,ENBN,BNN,,"12.217499732971, 65.461097717285"
ENBO,large_airport,BodÃ¸ Airport,42.0,EU,NO,NO-18,BodÃ¸,ENBO,BOO,,"14.365300178527832, 67.26920318603516"
ENBR,large_airport,Bergen Airport Flesland,170.0,EU,NO,NO-12,Bergen,ENBR,BGO,,"5.218140125, 60.29339981"
ENBS,medium_airport,BÃ¥tsfjord Airport,490.0,EU,NO,NO-20,BÃ¥tsfjord,ENBS,BJF,,"29.691400527954, 70.60050201416"
ENBV,medium_airport,BerlevÃ¥g Airport,42.0,EU,NO,NO-20,BerlevÃ¥g,ENBV,BVG,,"29.034201, 70.871399"
ENCN,medium_airport,Kristiansand Airport,57.0,EU,NO,NO-10,Kjevik,ENCN,KRS,,"8.08537, 58.204201"
ENDI,small_airport,Geilo Airport Dagali,2618.0,EU,NO,NO-06,Dagali,ENDI,DLD,,"8.518349647521973, 60.417301177978516"
ENDU,medium_airport,Bardufoss Airport,252.0,EU,NO,NO-19,MÃ¥lselv,ENDU,BDU,,"18.540399551392, 69.055801391602"
ENEV,medium_airport,"Harstad/Narvik Airport, Evenes",84.0,EU,NO,NO-18,Evenes,ENEV,EVE,,"16.678100585938, 68.491302490234"
ENFB,closed,"Oslo, Fornebu Airport",,EU,NO,NO-03,Oslo,ENFB,FBU,,"10.617199897766113, 59.89580154418945"
ENFG,medium_airport,Leirin Airport,2697.0,EU,NO,NO-05,,ENFG,VDB,,"9.2880601882935, 61.015598297119"
ENFL,medium_airport,FlorÃ¸ Airport,37.0,EU,NO,NO-14,FlorÃ¸,ENFL,FRO,,"5.0247201919556, 61.583599090576"
ENGM,large_airport,Oslo Gardermoen Airport,681.0,EU,NO,NO-02,Oslo,ENGM,OSL,,"11.100399971008, 60.193901062012"
ENHA,small_airport,Stafsberg Airport,713.0,EU,NO,NO-04,Hamar,ENHA,HMR,,"11.067999839782715, 60.81809997558594"
ENHD,medium_airport,Haugesund Airport,86.0,EU,NO,NO-11,KarmÃ¸y,ENHD,HAU,,"5.2083601951599, 59.34529876709"
ENHF,medium_airport,Hammerfest Airport,266.0,EU,NO,NO-20,Hammerfest,ENHF,HFT,,"23.668600082397, 70.679702758789"
ENHK,small_airport,Hasvik Airport,21.0,EU,NO,NO-20,Hasvik,ENHK,HAA,,"22.139699935913, 70.486701965332"
ENHV,medium_airport,Valan Airport,44.0,EU,NO,NO-20,HonningsvÃ¥g,ENHV,HVG,,"25.983600616455, 71.009696960449"
ENKA,small_airport,Kautokeino Air Base,1165.0,EU,NO,NO-20,,ENKA,QKX,,"23.034000396728516, 69.04029846191406"
ENKB,medium_airport,Kristiansund Airport (Kvernberget),204.0,EU,NO,NO-15,Kvernberget,ENKB,KSU,,"7.824520111084, 63.111801147461"
ENKL,small_airport,Gol Airport,2770.0,EU,NO,NO-06,Klanten flyplass,ENKL,GLL,,"9.048672, 60.791066"
ENKR,medium_airport,Kirkenes Airport (HÃ¸ybuktmoen),283.0,EU,NO,NO-20,Kirkenes,ENKR,KKN,,"29.891300201416, 69.725799560547"
ENLI,small_airport,Lista Airport,29.0,EU,NO,NO-10,Farsund,ENLI,FAN,,"6.626049995422363, 58.0994987487793"
ENLK,medium_airport,Leknes Airport,78.0,EU,NO,NO-18,Leknes,ENLK,LKN,,"13.609399795532, 68.152496337891"
ENMH,medium_airport,Mehamn Airport,39.0,EU,NO,NO-20,Mehamn,ENMH,MEH,,"27.826700210571, 71.02970123291"
ENML,medium_airport,Molde Airport,10.0,EU,NO,NO-15,ÃrÃ¸,ENML,MOL,,"7.2624998092651, 62.744701385498"
ENMS,medium_airport,MosjÃ¸en Airport (KjÃ¦rstad),237.0,EU,NO,NO-18,,ENMS,MJF,,"13.214900016785, 65.783996582031"
ENNA,medium_airport,Banak Airport,25.0,EU,NO,NO-20,Lakselv,ENNA,LKL,,"24.973499298096, 70.068801879883"
ENNK,medium_airport,Narvik Framnes Airport,95.0,EU,NO,NO-18,Narvik,ENNK,NVK,,"17.386699676514, 68.436897277832"
ENNM,small_airport,Namsos HÃ¸knesÃ¸ra Airport,7.0,EU,NO,NO-17,Namsos,ENNM,OSY,,"11.57859992981, 64.472198486328"
ENNO,medium_airport,Notodden Airport,63.0,EU,NO,NO-08,Notodden,ENNO,NTB,,"9.21222, 59.565701"
ENOL,medium_airport,Ãrland Airport,28.0,EU,NO,NO-16,Ãrland,ENOL,OLA,,"9.604000091552734, 63.69889831542969"
ENOV,medium_airport,"Ãrsta-Volda Airport, Hovden",243.0,EU,NO,NO-15,Ãrsta,ENOV,HOV,,"6.0741000175476, 62.180000305176"
ENRA,medium_airport,"Mo i Rana Airport, RÃ¸ssvoll",229.0,EU,NO,NO-18,Mo i Rana,ENRA,MQN,,"14.301400184631, 66.363899230957"
ENRM,medium_airport,"RÃ¸rvik Airport, Ryum",14.0,EU,NO,NO-17,RÃ¸rvik,ENRM,RVK,,"11.14610004425, 64.838302612305"
ENRO,medium_airport,RÃ¸ros Airport,2054.0,EU,NO,NO-16,RÃ¸ros,ENRO,RRS,,"11.342300415039, 62.578399658203"
ENRS,small_airport,RÃ¸st Airport,7.0,EU,NO,NO-18,,ENRS,RET,,"12.103300094604, 67.527801513672"
ENRY,medium_airport,"Moss Airport, Rygge",174.0,EU,NO,NO-01,Oslo,ENRY,RYG,,"10.785439, 59.378817"
ENSB,medium_airport,"Svalbard Airport, Longyear",88.0,EU,NO,NO-21,Longyearbyen,ENSB,LYR,,"15.465600013733, 78.246101379395"
ENSD,small_airport,Sandane Airport (Anda),196.0,EU,NO,NO-14,Sandane,ENSD,SDN,,"6.1058301925659, 61.830001831055"
ENSG,small_airport,Sogndal Airport,1633.0,EU,NO,NO-14,Sogndal,ENSG,SOG,,"7.13778, 61.156101"
ENSH,medium_airport,SvolvÃ¦r Helle Airport,27.0,EU,NO,NO-18,SvolvÃ¦r,ENSH,SVJ,,"14.669199943542, 68.243301391602"
ENSK,medium_airport,Stokmarknes Skagen Airport,11.0,EU,NO,NO-18,Hadsel,ENSK,SKN,,"15.033416748047, 68.578826904297"
ENSN,medium_airport,Skien Airport,463.0,EU,NO,NO-08,Geiteryggen,ENSN,SKE,,"9.566940307617188, 59.185001373291016"
ENSO,medium_airport,Stord Airport,160.0,EU,NO,NO-12,Leirvik,ENSO,SRP,,"5.340849876403809, 59.791900634765625"
ENSR,medium_airport,SÃ¸rkjosen Airport,16.0,EU,NO,NO-19,SÃ¸rkjosen,ENSR,SOJ,,"20.959400177002, 69.786796569824"
ENSS,medium_airport,"VardÃ¸ Airport, Svartnes",42.0,EU,NO,NO-20,VardÃ¸,ENSS,VAW,,"31.044900894165, 70.355400085449"
ENST,medium_airport,SandnessjÃ¸en Airport (Stokka),56.0,EU,NO,NO-18,Alstahaug,ENST,SSJ,,"12.468899726868, 65.956802368164"
ENTC,large_airport,TromsÃ¸ Airport,31.0,EU,NO,NO-19,TromsÃ¸,ENTC,TOS,,"18.918899536132812, 69.68329620361328"
ENTO,medium_airport,"Sandefjord Airport, Torp",286.0,EU,NO,NO-07,Torp,ENTO,TRF,,"10.258600235, 59.1866989136"
ENVA,large_airport,Trondheim Airport VÃ¦rnes,56.0,EU,NO,NO-17,Trondheim,ENVA,TRD,,"10.9239998, 63.4578018"
ENVD,medium_airport,VadsÃ¸ Airport,127.0,EU,NO,NO-20,VadsÃ¸,ENVD,VDS,,"29.844699859619, 70.065299987793"
ENVR,heliport,VÃ¦rÃ¸y Heliport,12.0,EU,NO,NO-18,VÃ¦rÃ¸y,ENVR,VRY,,"12.727257, 67.654555"
ENZV,large_airport,Stavanger Airport Sola,29.0,EU,NO,NO-11,Stavanger,ENZV,SVG,,"5.6377801895, 58.876701354"
EPBP,medium_airport,BiaÅa Podlaska Airfield,485.0,EU,PL,PL-LU,BiaÅa Podlaska,EPBP,BXP,,"23.1325278, 52.00078"
EPBY,medium_airport,Bydgoszcz Ignacy Jan Paderewski Airport,235.0,EU,PL,PL-KP,Bydgoszcz,EPBY,BZG,,"17.9776992798, 53.096801757799994"
EPCH,small_airport,CzÄstochowa-Rudniki,860.0,EU,PL,PL-SL,CzÄstochowa,EPRU,CZW,,"19.2047, 50.884998"
EPGD,large_airport,GdaÅsk Lech WaÅÄsa Airport,489.0,EU,PL,PL-PM,GdaÅsk,EPGD,GDN,,"18.46619987487793, 54.377601623535156"
EPKK,large_airport,KrakÃ³w John Paul II International Airport,791.0,EU,PL,PL-MA,KrakÃ³w,EPKK,KRK,,"19.7848, 50.077702"
EPKO,small_airport,Koszalin Zegrze Pomorskie,249.0,EU,PL,PL-ZP,Zegrze Pomorskie,EPKZ,OSZ,,"16.2656, 54.0425"
EPKT,large_airport,Katowice International Airport,995.0,EU,PL,PL-SL,Katowice,EPKT,KTW,,"19.08, 50.4743"
EPKW,small_airport,Bielsko-Bialo Kaniow Airfield,1316.0,EU,PL,PL-SL,Czechowice-Dziedzice,EPKW,QEO,,"19.021999359099997, 49.9399986267"
EPLL,medium_airport,ÅÃ³dÅº WÅadysÅaw Reymont Airport,604.0,EU,PL,PL-LD,ÅÃ³dÅº,EPLL,LCJ,,"19.3980998993, 51.721900939899996"
EPMO,large_airport,Modlin Airport,341.0,EU,PL,PL-MZ,Warsaw,EPMO,WMI,,"20.6518, 52.451099"
EPOK,medium_airport,Oksywie Military Air Base,144.0,EU,PL,PL-PM,Gdynia,EPOK,QYD,,"18.51720047, 54.57970047"
EPPO,large_airport,PoznaÅ-Åawica Airport,308.0,EU,PL,PL-WP,PoznaÅ,EPPO,POZ,,"16.8262996674, 52.421001434299995"
EPRA,medium_airport,Radom Airport,610.0,EU,PL,PL-MZ,Radom,EPRA,RDO,,"21.213300705, 51.3891983032"
EPRZ,medium_airport,RzeszÃ³w-Jasionka Airport,693.0,EU,PL,PL-PK,RzeszÃ³w,EPRZ,RZE,,"22.018999, 50.110001"
EPSC,medium_airport,"Szczecin-GoleniÃ³w ""SolidarnoÅÄ"" Airport",154.0,EU,PL,PL-ZP,Goleniow,EPSC,SZZ,,"14.902199745199999, 53.584701538100006"
EPSK,closed,Redzikowo Air Base,217.0,EU,PL,PL-PM,,EPSK,OSP,,"17.107500076293945, 54.47890090942383"
EPSY,medium_airport,Olsztyn-Mazury Airport,463.0,EU,PL,PL-WN,Olsztyn,EPSY,SZY,,"20.9377, 53.481899"
EPWA,large_airport,Warsaw Chopin Airport,362.0,EU,PL,PL-MZ,Warsaw,EPWA,WAW,,"20.967100143399996, 52.1656990051"
EPWR,large_airport,Copernicus WrocÅaw Airport,404.0,EU,PL,PL-DS,WrocÅaw,EPWR,WRO,,"16.885799408, 51.1026992798"
EPZG,medium_airport,Zielona GÃ³ra-Babimost Airport,194.0,EU,PL,PL-LB,Babimost,EPZG,IEG,,"15.7986001968, 52.138500213600004"
ESDF,medium_airport,Ronneby Airport,191.0,EU,SE,SE-K,,ESDF,RNB,,"15.265000343323, 56.266700744629"
ESGG,large_airport,Gothenburg-Landvetter Airport,506.0,EU,SE,SE-Q,Gothenburg,ESGG,GOT,,"12.279800415039, 57.662799835205"
ESGJ,medium_airport,JÃ¶nkÃ¶ping Airport,741.0,EU,SE,SE-F,JÃ¶nkÃ¶ping,ESGJ,JKG,,"14.068699836730957, 57.757598876953125"
ESGL,small_airport,LidkÃ¶ping-Hovby Airport,200.0,EU,SE,SE-Q,LidkÃ¶ping,ESGL,LDK,,"13.1744, 58.4655"
ESGP,medium_airport,Gothenburg City Airport,59.0,EU,SE,SE-Q,Gothenburg,ESGP,GSE,,"11.8704, 57.7747"
ESGR,medium_airport,SkÃ¶vde Airport,324.0,EU,SE,SE-Q,SkÃ¶vde,ESGR,KVB,,"13.972700119018555, 58.45640182495117"
ESGT,medium_airport,TrollhÃ¤ttan-VÃ¤nersborg Airport,137.0,EU,SE,SE-Q,TrollhÃ¤ttan,ESGT,THN,,"12.345000267028809, 58.31809997558594"
ESKK,medium_airport,Karlskoga Airport,400.0,EU,SE,SE-T,,ESKK,KSK,,"14.49590015411377, 59.34590148925781"
ESKM,medium_airport,Mora Airport,634.0,EU,SE,SE-W,Mora,ESKM,MXX,,"14.5114, 60.957901"
ESKN,medium_airport,Stockholm Skavsta Airport,140.0,EU,SE,SE-D,Stockholm / NykÃ¶ping,ESKN,NYO,,"16.912200927734375, 58.78860092163086"
ESMK,medium_airport,Kristianstad Airport,76.0,EU,SE,SE-M,Kristianstad,ESMK,KID,,"14.08549976348877, 55.92169952392578"
ESMO,small_airport,Oskarshamn Airport,96.0,EU,SE,SE-H,,ESMO,OSK,,"16.497999, 57.350498"
